category,date,contents,title
모두의공원,2019-02-07,"6일 금융감독원 전자공시시스템 정보를 보면 SK,의 지난해 매출은 3조2500억원으로 2017년보다 6.6% 상승했다. 같은 기간 영업이익도 1756억원을 기록해 사상 최대다. 먼저 IPTV 매출이 1조2906억원...","<span>SK<b>브로드</b><b>밴드</b>, 최대 실적 비결은 탈통신의 ‘50·50 클럽’. GISA : 클리앙</span>"
모두의공원,2018-04-28,"생각도 있고.... (이럴 경우 지원금이 좀 나오겠죠....) 온가족 할인때문에 회선 유지하고 있는 SK, 회선이 하나 있긴 한데... 이걸 주소변경으로 이쪽으로 땡기고 거기에 IPTV/전화 등을 세트로 해서...",<span>인터넷을 뭐로 바꿔야할지 고민중...</span>
모두의공원,2018-04-25,"그냥 쓰고 이번에는 KT로 옮겨볼까 생각중이네요.. 아님 온가족 할인때문에 해지안하고 대여해준 SK, 회선이 하나 있는데 이걸 주소변경으로 해서 쓰던지... (다만 요새 SK,는 좀...",<span>LG 유플러스에 결제 수단 변경건으로 전화했더니... : 클리앙</span>
모두의공원,2018-04-25,"관리비 자동 납부도 변경하고... 도시가스에 전화해서 변경하고... 집사람 KT쪽에 전화해서 변경하고... SK , 전화해서 변경하고... LG 유플러스 전화해서 변경하고.... 쿠팡 정비배송 카드 결제 정보...",<span>카드 갱신할때마다 정말 귀찮네요...</span>
모두의공원,2019-02-25,"KBO 리그 유무선 중계권 사업자 선정 입찰에서 통·포탈 컨소시엄(네이버, 카카오, KT, LG유플러스, SK,)이 우선협상 대상자로 선정됐다. http://naver.me/xqxq86F5 방송사들 속이 많이 쓰리겠네요","<span>KBO리그 유무선 중계권, 통신-포탈 컨소시엄 우선협상자 선정.gisa : 클리앙</span>"
모두의공원,2019-02-25,이게 엮인게 없다면 진심 버리고 싶군요. 서비스 개선할 생각도 없고...,<span>진심 SK<b>브로드</b> <b>밴드</b> 버리고 싶군요. : 클리앙</span>
모두의공원,2019-02-25,"SK , 인터넷은 절대로 쓰지 마세요. 가정용 인터넷은 그냥 무조건 KT입니다. SK 이것들은 대체 회선 관리를 어떻게 하는지 손실률이 장난이 아닙니다. 사진 로딩하는데 100번에 99번을 다운로드 실패...",<span>망할놈의 SK 인터넷... : 클리앙</span>
모두의공원,2019-02-21,"신세기통신 -> SK텔레콤 하나로통신 -> 하나로텔레콤 + CJ 드림라인 + 두루넷 + 온세통신 인터넷 -> SK, + 티브로드? KT + KTF + 스카이라이프 + 한솔PCS -> KT + 딜라이브? LG텔레콤 + 데이콤...",<span>국내 통신기업들도 시장이 성숙되니 다 정리가 되는 가봐요. : 클리앙</span>
모두의공원,2019-02-21,"SK텔레콤은 미디어 경쟁력 강화를 위해 티브로드를 인수한다. SK텔레콤은 자회사인 SK,와 티브로드 간 합병을 추진하기 위해 티브로드의 최대 주주인 태광산업과MOU를 체결했다고 21일 공시했다. SK...",<span>SK텔레콤 티브로드 합병.. KT만 남았다. GISA : 클리앙</span>
모두의공원,2019-02-21,"저희집은 티브로드 인터넷+TV 쓰고있는데, 원래 온가족이 SKT라 인터넷+TV를 SK,로 옮기려고 했었거든요.. 위약금문제나 SKB로 옮기면 지금 가격보다 올라가서 약정 끝날 때 까지 존버중이었는데 결국...",<span>SKT가 결국 티브로드를 먹는군요.. : 클리앙</span>
모두의공원,2018-05-28,모공에서는 해외망 좋고 속도 잘나와서 KT가 1등이지만 저희 아파트는 아니더군요. 짧게 짧게 요약해보겠습니다. - SK 매우 잘 쓰다가 약정만료로 KT로 이동 - KT인터넷 속도 다운50Mbps/업0.5Mpbs 나옴.(10...,<span>인터넷 KT에서 SK<b>브로드</b><b>밴드</b>로 바꿨는데 속이 다 시원하네요.</span>
모두의공원,2018-05-21,"구매) 엑스박스(게임패스) - 월 8,000원 (3개월 정상가 35,400원 / 쇼핑몰에서 21달러에 구매) SK,(프라임) - 월 16,500원(1개월 정상가 27,500원 / 약정,결합 기타등등 할인) 필수인 전화와 인터넷을...",<span>IPTV해지하고 넷플릭스만 보시는분들 있나요?</span>
모두의공원,2018-03-16,"국제망 임대가 유지비가 싸게 들어가긴 하지만 그래도 이번에 SK,가 일을 터뜨리네요. 싱가포르, 태국, 캄보디아, 베트남, 홍콩, 대만, 중국, 한국 및 일본을 연결하는 고성능 해저 케이블을 구축하기...",<span>[SJC2] 드디어 SK가 해저광케이블에 단독으로 투자를 합니다!</span>
모두의공원,2018-03-13,"현재 sk, 사용중- 요금 31,395원 핸드폰 sk텔레콤 매달 5500원씩 할인받고 있음. 1년약정 할 경우 상품권 8만원 준다고 함. 3년일경우 24만원+핸드폰 할인 198,000 = 438,000원 이득 엘지 유플러스로...","<span>인터넷, 티비 3년 약정이 끝났습니다. 무조건 바꿔야 이득인가요?</span>"
모두의공원,2018-03-11,"SK, 김성진 실장은 ""트래픽 비율을 봐도 유튜브가 압도적으로 높은 상황으로, 우리나라 유아교육은 유튜브가 책임지고 있다고 해도 과언이 아니""라며 ""유튜브는 망 사용료의 부담도 없으니 초고화질...","<span>유튜브, 국내 앱시장 압도적 1위...역차별로 탄생한 위너</span>"
모두의공원,2018-08-11,"KT 인터넷 4년 정도 쓰다가 와이프가 한번 SK,로 바꿔보면 어떨까? 하는 권유에 전화 + UHD + 광랜? ? 거의 제일 높은 금액으로 계약을 했습니다. 지금까지 한 1년 반?2년정도 사용했구요. 와이프가 집...",<span>인터넷 포트를 열어달라고 하는게 참 귀찮습니다.. : 클리앙</span>
모두의공원,2018-08-07,"모색하는 것에 대해선 자체 콘텐츠 경쟁력 확보에 우선순위를 두며 대응하겠다는 입장이다. 윤석암 SK, 미디어부문장은 ""다른 콘텐츠공급자(CP)와 달리 넷플릭스는 수익의 90%를 가져가고 망 사용료...","<span>SKB ""맞춤형 IPTV로 넷플릭스와 맞짱""</span>"
모두의공원,2018-08-07,"그런데 이번에 SK,가 Btv 첫 화면을 확 바꿨다. 고객의 시청이력 데이터와 콘텐츠의 메타데이터를 분석해 집집마다 각기 다른 홈화면 서비스를 시작한 것이다. 지상파DMB, SBS에서 일하다 두 달전 합류...","<span>넷플릭스 꼼짝마, 완전히 새로운 BTV. GISA : 클리앙</span>"
모두의공원,2018-08-06,"서비스인 '옥수수' 이용자 수가 넷플릭스 보다 8배 많은 것으로 추산되고 있다. 6일 업계에 따르면SK,의OTT서비스 옥수수의 월간 활성사용자수가 630만(MAU,MonthlyActiveUsers)으로 집계됐다. 이같은...","<span>옥수수 월 사용자, 넷플릭스의 8배. GISA</span>"
모두의공원,2018-08-06,"계획을 말하는 ‘2분 발표회’를 열었다.그간 한 달에 한 번씩 박정호 사장, 이형희 미디어사업부장(SK, 사장), 서성원MNO사업부장을 비롯한 임원들이 참석하는 ‘뉴노멀 시프트데이(NewNormalShiftDay...",<span>SKT 임원들 '테드' 방식으로 사업 발표한 이유</span>
모두의공원,2019-01-20,전엔 괜찮았는데 -_-;; 화질이 아주 그냥 엉망 진창이네요. 옥수수 밀려고 일부러 그러는건가. 해도 너무 하는군요. 쩝. 480p 정도로 나오는 듯 ㅠㅠ isp를 lg로 바꾸던지 해야지. 엘지가 넷플릭스 공식 지원이니...,<span>sk<b>브로드</b><b>밴드</b>는 넷플릭스 엉망 진창이네요. : 클리앙</span>
모두의공원,2019-01-20,"관련으로 불만 사항을 말하다 편법으로 SKT 펨토를 받게 되었습니다. SKT의 LTE 펨토를 받으려면 SK,를 사용해야 되지만 동네 SKT 엔지니어 담당자와 말을 맞춰 신청은 근처 친척 집으로 하고(같은...",<span>LTE 관련 이야기가 나와서 작성합니다 : 클리앙</span>
모두의공원,2019-02-06,"sk,(? SKT 인터넷?) 5G인가 UHD인가(기가 인터넷이 맞는 것같네요)로 바꾼지 몇년 됐습니다. h614g 라는 모뎀을 제공해 줬는데, 집에 있는 나스를 포트포워딩 해야되기 때문에 사용하지 않고 아파트...",<span>sk<b>브로드</b><b>밴드</b> 기가 인터넷으로 바꾼지 몇년 됐는데... 허탈합니다. : 클리앙</span>
모두의공원,2019-02-06,"스마트광랜 (100Mbps) 짜리 쓰고 있고 측정당시 다른 방에서 별다른 작업 하지 않고 있었고 PC 한대만 연결되어있으며, 무선이며, 모바일 3대 연결된 상태였습니다. (별 작업 안하는 상태였습니다.) 으음...",<span>유선 인터넷 속도측정 해봅니다~ (feat. SK<b>브로드</b><b>밴드</b>) : 클리앙</span>
모두의공원,2019-02-04,"넷플릭스에 대항하기 위한 국내 업계들의 움직임도 분주하다. SK텔레콤(017670)은 자회사 SK,의 온라인 동영상 서비스(OTT) ‘옥수수’와 지상파 3사의 ‘푹’을 통합하기로 했다. 박정호 SKT(030200) 사장...",<span>‘넷플릭스를 이겨라’ 콘텐츠 전쟁 시작됐다. GISA : 클리앙</span>
